TYPE,SAV_1HR,SAV_LIVE,SAV_WOODY,FUEL_DEPTH,FUEL_LOAD_1,FUEL_LOAD_10,FUEL_LOAD_100
NB8,0,0,0,0,0,0,0
NB1,0,0,0,0,0,0,0
GS1,2000,1800,9999,0.9,0.2,0,0
GR1,2200,2000,1800,0.4,0.1,0,0
GR2,2000,1800,9999,1,0.1,0,0
SH2,2000,9999,1600,1,1.35,2.4,0.75
GS2,2000,1800,1800,1.5,0.5,0.5,0
SH5,750,9999,1600,6,3.6,2.1,0
GR3,1500,1300,9999,2,0.1,0.4,0
NB9,0,0,0,0,0,0,0
TL3,2000,9999,9999,0.3,0.5,2.2,2.8
GS3,1800,1600,1600,1.8,0.3,0.25,0
TL2,2000,9999,9999,0.2,1.4,2.3,2.2
TU5,1500,9999,750,1,4,4,3
TL8,1800,9999,9999,0.3,5.8,1.4,1.1
TU3,1800,1600,1400,1.3,1.1,0.15,0.25
